id,label,coords
H1_00000000_00000181_00000001,0,
H1_00000000_00000181_00000002,0,
H1_00000000_00000181_00000003,0,
H1_00000000_00000181_00000004,0,
H1_00000000_00000181_00000005,0,
H1_00000000_00000181_00000006,0,
H1_00000000_00000181_00000007,0,
H1_00000000_00000181_00000008,0,
H1_00000000_00000181_00000009,0,
H1_00000000_00000181_00000010,0,
H1_00000000_00000181_00000011,0,
H1_00000000_00000181_00000012,0,
H1_00000000_00000181_00000013,0,
H1_00000000_00000181_00000014,0,
H1_00000000_00000181_00000015,0,
H1_00000000_00000181_00000016,0,
H1_00000000_00000181_00000017,0,
H1_00000000_00000181_00000018,0,
H1_00000000_00000181_00000019,0,
H1_00000000_00000181_00000020,0,
H1_00000000_00000181_00000021,0,
H1_00000000_00000181_00000022,0,
H1_00000000_00000181_00000023,0,
H1_00000000_00000181_00000024,0,
H1_00000000_00000181_00000025,0,
H1_00000000_00000181_00000026,0,
H1_00000000_00000181_00000027,0,
H1_00000000_00000181_00000028,0,
H1_00000000_00000181_00000029,0,
H1_00000000_00000181_00000030,0,
H1_00000001_00000182_00000001,0,
H1_00000001_00000182_00000002,0,
H1_00000001_00000182_00000003,0,
H1_00000001_00000182_00000004,0,
H1_00000001_00000182_00000005,0,
H1_00000001_00000182_00000006,0,
H1_00000001_00000182_00000007,0,
H1_00000001_00000182_00000008,0,
H1_00000001_00000182_00000009,0,
H1_00000001_00000182_00000010,0,
H1_00000001_00000182_00000011,0,
H1_00000001_00000182_00000012,0,
H1_00000001_00000182_00000013,0,
H1_00000001_00000182_00000014,0,
H1_00000001_00000182_00000015,0,
H1_00000001_00000182_00000016,0,
H1_00000001_00000182_00000017,0,
H1_00000001_00000182_00000018,0,
H1_00000001_00000182_00000019,0,
H1_00000001_00000182_00000020,0,
H1_00000001_00000182_00000021,0,
H1_00000001_00000182_00000022,0,
H1_00000001_00000182_00000023,0,
H1_00000001_00000182_00000024,0,
H1_00000001_00000182_00000025,0,
H1_00000001_00000182_00000026,0,
H1_00000002_00000691_00000001,-1,
H1_00000002_00000691_00000002,-1,
H1_00000002_00000691_00000003,-1,
H1_00000002_00000691_00000004,-1,
H1_00000002_00000691_00000005,-1,
H1_00000002_00000691_00000006,-1,
H1_00000002_00000691_00000007,-1,
H1_00000002_00000691_00000008,-1,
H1_00000002_00000691_00000009,-1,
H1_00000002_00000691_00000010,1,374 352
H1_00000002_00000691_00000011,1,373 356
H1_00000002_00000691_00000012,1,371 359
H1_00000002_00000691_00000013,1,351 376 366 360
H1_00000002_00000691_00000014,1,353 373 364 363 394 165
H1_00000002_00000691_00000015,1,361 369 395 170
H1_00000002_00000691_00000016,1,356 370 395 173
H1_00000002_00000691_00000017,1,354 370 395 173
H1_00000002_00000691_00000018,1,352 371 392 174
H1_00000002_00000691_00000019,1,208 94 347 371 390 174
H1_00000002_00000691_00000020,1,208 99 342 372 387 178
H1_00000002_00000691_00000021,1,209 104 327 374 333 376 341 368 382 186 406 232
H1_00000002_00000691_00000022,1,210 114 307 374 317 378 339 361 403 244
H1_00000002_00000691_00000023,1,290 365 300 374 339 358 340 348 401 258
H1_00000002_00000691_00000024,1,130 280 337 350 338 340 382 281 396 274
H1_00000002_00000691_00000025,1,138 288 153 293 337 340 339 332 343 322 356 309 364 304 374 304 382 296
H1_00000002_00000691_00000026,1,156 293 339 328 343 320 346 304 353 320 362 312
H1_00000002_00000691_00000027,1,336 294 347 298 356 305
H1_00000002_00000691_00000028,1,170 240 332 288 340 292 348 296
H1_00000002_00000691_00000029,1,187 233 198 231 212 230 302 272 313 276 322 281 332 288
H1_00000002_00000691_00000030,1,209 230 224 228 242 223 271 261 284 265 298 269 310 273
H1_00000002_00000691_00000031,-1,
H1_00000002_00000691_00000032,-1,
H1_00000003_00000084_00000001,-1,
H1_00000003_00000084_00000002,1,236 131 245 124 249 104 249 113
H1_00000003_00000084_00000003,1,244 141 252 96 252 136 256 105 257 116 257 126
H1_00000003_00000084_00000004,-1,
H1_00000003_00000084_00000005,-1,
H1_00000003_00000084_00000006,-1,
H1_00000003_00000084_00000007,-1,
H1_00000003_00000084_00000008,-1,
H1_00000003_00000084_00000009,-1,
H1_00000003_00000084_00000010,-1,
H1_00000003_00000084_00000011,-1,
H1_00000003_00000084_00000012,-1,
H1_00000003_00000084_00000013,-1,
H1_00000003_00000084_00000014,-1,
H1_00000003_00000084_00000015,-1,
H1_00000003_00000084_00000016,-1,
H1_00000003_00000084_00000017,-1,
H1_00000003_00000084_00000018,-1,
H1_00000003_00000084_00000019,-1,
H1_00000003_00000084_00000020,-1,
H1_00000003_00000084_00000021,1,366 180
H1_00000003_00000084_00000022,1,358 194 363 185
H1_00000003_00000084_00000023,1,357 211 358 196
H1_00000003_00000084_00000024,1,350 238 356 228 359 217
H1_00000003_00000084_00000025,-1,
H1_00000003_00000084_00000026,-1,
H1_00000003_00000084_00000027,1,299 303 305 289 311 276 317 265
H1_00000003_00000084_00000028,1,298 310 304 301 308 290 312 282
H1_00000004_00000170_00000001,-1,
H1_00000004_00000170_00000002,-1,
H1_00000004_00000170_00000003,-1,
H1_00000004_00000170_00000004,-1,
H1_00000004_00000170_00000005,-1,
H1_00000004_00000170_00000006,-1,
H1_00000004_00000170_00000007,-1,
H1_00000004_00000170_00000008,-1,
H1_00000004_00000170_00000009,-1,
H1_00000004_00000170_00000010,1,354 170 363 175 366 166 369 157
H1_00000004_00000170_00000011,1,364 174 372 174
H1_00000004_00000170_00000012,-1,
H1_00000004_00000170_00000013,-1,
H1_00000004_00000170_00000014,-1,
H1_00000004_00000170_00000015,-1,
H1_00000004_00000170_00000016,-1,
H1_00000004_00000170_00000017,-1,
H1_00000004_00000170_00000018,-1,
H1_00000004_00000170_00000019,-1,
H1_00000004_00000170_00000020,-1,
H1_00000004_00000170_00000021,-1,
H1_00000004_00000170_00000022,-1,
H1_00000004_00000170_00000023,-1,
H1_00000004_00000170_00000024,-1,
H1_00000004_00000170_00000025,-1,
H1_00000004_00000170_00000026,-1,
H1_00000004_00000170_00000027,-1,
H1_00000004_00000170_00000028,-1,
H1_00000004_00000170_00000029,-1,
H1_00000004_00000170_00000030,-1,
H1_00000005_00000490_00000001,-1,
H1_00000005_00000490_00000002,1,224 402
H1_00000005_00000490_00000003,1,221 404
H1_00000005_00000490_00000004,1,221 414 224 406
H1_00000005_00000490_00000005,1,212 425 216 418 222 412
H1_00000005_00000490_00000006,1,215 426 215 436 220 418
H1_00000005_00000490_00000007,1,217 423 218 435 218 446
H1_00000005_00000490_00000008,1,216 430 216 450 218 439
H1_00000005_00000490_00000009,1,210 454 214 427 214 436 214 446
H1_00000005_00000490_00000010,1,207 457 210 448 214 440 216 430
H1_00000005_00000490_00000011,1,206 459 207 450 210 440 212 432
H1_00000005_00000490_00000012,-1,
H1_00000005_00000490_00000013,-1,
H1_00000005_00000490_00000014,-1,
H1_00000005_00000490_00000015,-1,
H1_00000005_00000490_00000016,-1,
H1_00000005_00000490_00000017,-1,
H1_00000005_00000490_00000018,-1,
H1_00000005_00000490_00000019,-1,
H1_00000005_00000490_00000020,-1,
H1_00000005_00000490_00000021,-1,
H1_00000005_00000490_00000022,-1,
H1_00000005_00000490_00000023,-1,
H1_00000005_00000490_00000024,-1,
H1_00000005_00000490_00000025,-1,
H1_00000005_00000490_00000026,-1,
H1_00000006_00000606_00000001,0,
H1_00000006_00000606_00000002,0,
H1_00000006_00000606_00000003,0,
H1_00000006_00000606_00000004,0,
H1_00000006_00000606_00000005,0,
H1_00000006_00000606_00000006,0,
H1_00000006_00000606_00000007,0,
H1_00000006_00000606_00000008,0,
H1_00000006_00000606_00000009,0,
H1_00000006_00000606_00000010,0,
H1_00000006_00000606_00000011,0,
H1_00000006_00000606_00000012,0,
H1_00000006_00000606_00000013,0,
H1_00000006_00000606_00000014,0,
H1_00000006_00000606_00000015,0,
H1_00000006_00000606_00000016,0,
H1_00000006_00000606_00000017,0,
H1_00000006_00000606_00000018,0,
H1_00000006_00000606_00000019,0,
H1_00000006_00000606_00000020,0,
H1_00000006_00000606_00000021,0,
H1_00000006_00000606_00000022,0,
H1_00000006_00000606_00000023,0,
H1_00000006_00000606_00000024,0,
H1_00000006_00000606_00000025,0,
H1_00000006_00000606_00000026,0,
H1_00000006_00000606_00000027,0,
H1_00000006_00000606_00000028,0,
H1_00000007_00000819_00000001,0,
H1_00000007_00000819_00000002,0,
H1_00000007_00000819_00000003,0,
H1_00000007_00000819_00000004,0,
H1_00000007_00000819_00000005,0,
H1_00000007_00000819_00000006,0,
H1_00000007_00000819_00000007,0,
H1_00000007_00000819_00000008,0,
H1_00000007_00000819_00000009,0,
H1_00000007_00000819_00000010,0,
H1_00000007_00000819_00000011,0,
H1_00000007_00000819_00000012,0,
H1_00000007_00000819_00000013,0,
H1_00000007_00000819_00000014,0,
H1_00000007_00000819_00000015,0,
H1_00000007_00000819_00000016,0,
H1_00000007_00000819_00000017,0,
H1_00000007_00000819_00000018,0,
H1_00000007_00000819_00000019,0,
H1_00000007_00000819_00000020,0,
H1_00000007_00000819_00000021,0,
H1_00000007_00000819_00000022,0,
H1_00000007_00000819_00000023,0,
H1_00000007_00000819_00000024,0,
H1_00000007_00000819_00000025,0,
H1_00000007_00000819_00000026,0,
H1_00000009_00000395_00000001,0,
H1_00000009_00000395_00000002,0,
H1_00000009_00000395_00000003,0,
H1_00000009_00000395_00000004,0,
H1_00000009_00000395_00000005,0,
H1_00000009_00000395_00000006,0,
H1_00000009_00000395_00000007,0,
H1_00000009_00000395_00000008,0,
H1_00000009_00000395_00000009,0,
H1_00000009_00000395_00000010,0,
H1_00000009_00000395_00000011,0,
H1_00000009_00000395_00000012,0,
H1_00000009_00000395_00000013,0,
H1_00000009_00000395_00000014,0,
H1_00000009_00000395_00000015,0,
H1_00000009_00000395_00000016,0,
H1_00000009_00000395_00000017,0,
H1_00000009_00000395_00000018,0,
H1_00000009_00000395_00000019,0,
H1_00000009_00000395_00000020,0,
H1_00000009_00000395_00000021,0,
H1_00000009_00000395_00000022,0,
H1_00000009_00000395_00000023,0,
H1_00000009_00000395_00000024,0,
H1_00000009_00000395_00000025,0,
H1_00000009_00000395_00000026,0,
H1_00000009_00000395_00000027,0,
H1_00000009_00000395_00000028,0,
H1_00000009_00000395_00000029,0,
H1_00000010_00000364_00000001,-1,
H1_00000010_00000364_00000002,-1,
H1_00000010_00000364_00000003,1,174 408 175 420
H1_00000010_00000364_00000004,1,181 430
H1_00000010_00000364_00000005,1,185 441
H1_00000010_00000364_00000006,1,193 446
H1_00000010_00000364_00000007,1,196 449
H1_00000010_00000364_00000008,1,200 449
H1_00000010_00000364_00000009,1,207 450
H1_00000010_00000364_00000010,1,209 456
H1_00000010_00000364_00000011,1,210 465 215 450
H1_00000010_00000364_00000012,1,212 468 217 459
H1_00000010_00000364_00000013,1,217 468 223 460
H1_00000010_00000364_00000014,1,223 468 227 458
H1_00000010_00000364_00000015,1,226 466 233 458
H1_00000010_00000364_00000016,-1,
H1_00000010_00000364_00000017,-1,
H1_00000010_00000364_00000018,-1,
H1_00000010_00000364_00000019,-1,
H1_00000010_00000364_00000020,-1,
H1_00000010_00000364_00000021,-1,
H1_00000010_00000364_00000022,-1,
H1_00000010_00000364_00000023,-1,
H1_00000010_00000364_00000024,-1,
H1_00000011_00000103_00000001,-1,
H1_00000011_00000103_00000002,-1,
H1_00000011_00000103_00000003,-1,
H1_00000011_00000103_00000004,-1,
H1_00000011_00000103_00000005,1,342 388
H1_00000011_00000103_00000006,1,341 394
H1_00000011_00000103_00000007,-1,
H1_00000011_00000103_00000008,1,334 406
H1_00000011_00000103_00000009,1,334 408
H1_00000011_00000103_00000010,1,333 413
H1_00000011_00000103_00000011,-1,
H1_00000011_00000103_00000012,1,322 421
H1_00000011_00000103_00000013,-1,
H1_00000011_00000103_00000014,-1,
H1_00000011_00000103_00000015,-1,
H1_00000011_00000103_00000016,-1,
H1_00000011_00000103_00000017,-1,
H1_00000011_00000103_00000018,-1,
H1_00000011_00000103_00000019,-1,
H1_00000011_00000103_00000020,-1,
H1_00000011_00000103_00000021,-1,
H1_00000011_00000103_00000022,-1,
H1_00000011_00000103_00000023,-1,
H1_00000011_00000103_00000024,-1,
H1_00000011_00000103_00000025,-1,
H1_00000011_00000103_00000026,-1,
H1_00000011_00000103_00000027,-1,
H1_00000012_00000383_00000001,-1,
H1_00000012_00000383_00000002,-1,
H1_00000012_00000383_00000003,-1,
H1_00000012_00000383_00000004,-1,
H1_00000012_00000383_00000005,-1,
H1_00000012_00000383_00000006,-1,
H1_00000012_00000383_00000007,-1,
H1_00000012_00000383_00000008,-1,
H1_00000012_00000383_00000009,1,355 387
H1_00000012_00000383_00000010,1,352 399
H1_00000012_00000383_00000011,1,352 401
H1_00000012_00000383_00000012,1,345 404
H1_00000012_00000383_00000013,1,344 410
H1_00000012_00000383_00000014,1,345 408
H1_00000012_00000383_00000015,1,344 409
H1_00000012_00000383_00000016,1,340 411
H1_00000012_00000383_00000017,-1,
H1_00000012_00000383_00000018,-1,
H1_00000012_00000383_00000019,-1,
H1_00000012_00000383_00000020,-1,
H1_00000012_00000383_00000021,-1,
H1_00000012_00000383_00000022,-1,
H1_00000012_00000383_00000023,-1,
H1_00000012_00000383_00000024,-1,
H1_00000012_00000383_00000025,-1,
H1_00000012_00000383_00000026,-1,
H1_00000012_00000383_00000027,-1,
H1_00000012_00000383_00000028,-1,
H1_00000012_00000383_00000029,-1,
H1_00000012_00000383_00000030,-1,
H1_00000012_00000383_00000031,-1,
H1_00000013_00000349_00000001,0,
H1_00000013_00000349_00000002,0,
H1_00000013_00000349_00000003,0,
H1_00000013_00000349_00000004,0,
H1_00000013_00000349_00000005,0,
H1_00000013_00000349_00000006,0,
H1_00000013_00000349_00000007,0,
H1_00000013_00000349_00000008,0,
H1_00000013_00000349_00000009,0,
H1_00000013_00000349_00000010,0,
H1_00000013_00000349_00000011,0,
H1_00000013_00000349_00000012,0,
H1_00000013_00000349_00000013,0,
H1_00000013_00000349_00000014,0,
H1_00000013_00000349_00000015,0,
H1_00000013_00000349_00000016,0,
H1_00000013_00000349_00000017,0,
H1_00000013_00000349_00000018,0,
H1_00000013_00000349_00000019,0,
H1_00000013_00000349_00000020,0,
H1_00000013_00000349_00000021,0,
H1_00000013_00000349_00000022,0,
H1_00000013_00000349_00000023,0,
H1_00000014_00000148_00000001,-1,
H1_00000014_00000148_00000002,-1,
H1_00000014_00000148_00000003,-1,
H1_00000014_00000148_00000004,-1,
H1_00000014_00000148_00000005,-1,
H1_00000014_00000148_00000006,-1,
H1_00000014_00000148_00000007,-1,
H1_00000014_00000148_00000008,-1,
H1_00000014_00000148_00000009,-1,
H1_00000014_00000148_00000010,-1,
H1_00000014_00000148_00000011,-1,
H1_00000014_00000148_00000012,-1,
H1_00000014_00000148_00000013,-1,
H1_00000014_00000148_00000014,-1,
H1_00000014_00000148_00000015,-1,
H1_00000014_00000148_00000016,-1,
H1_00000014_00000148_00000017,-1,
H1_00000014_00000148_00000018,-1,
H1_00000014_00000148_00000019,-1,
H1_00000014_00000148_00000020,-1,
H1_00000014_00000148_00000021,-1,
H1_00000014_00000148_00000022,-1,
H1_00000014_00000148_00000023,-1,
H1_00000014_00000148_00000024,-1,
H1_00000014_00000148_00000025,1,168 261
H1_00000014_00000148_00000026,1,177 274
H1_00000014_00000148_00000027,-1,
H1_00000014_00000148_00000028,-1,
H1_00000016_00000964_00000001,1,205 127 226 126 246 112
H1_00000016_00000964_00000002,1,232 130
H1_00000016_00000964_00000003,-1,
H1_00000016_00000964_00000004,-1,
H1_00000016_00000964_00000005,-1,
H1_00000016_00000964_00000006,-1,
H1_00000016_00000964_00000007,-1,
H1_00000016_00000964_00000008,-1,
H1_00000016_00000964_00000009,-1,
H1_00000016_00000964_00000010,-1,
H1_00000016_00000964_00000011,-1,
H1_00000016_00000964_00000012,-1,
H1_00000016_00000964_00000013,-1,
H1_00000016_00000964_00000014,-1,
H1_00000016_00000964_00000015,-1,
H1_00000016_00000964_00000016,-1,
H1_00000016_00000964_00000017,-1,
H1_00000016_00000964_00000018,-1,
H1_00000016_00000964_00000019,-1,
H1_00000016_00000964_00000020,-1,
H1_00000016_00000964_00000021,-1,
H1_00000016_00000964_00000022,-1,
H1_00000016_00000964_00000023,-1,
H1_00000016_00000964_00000024,-1,
H1_00000016_00000964_00000025,-1,
